BTM,target,n,r,p_value
D3/0_CD1 and other DC receptors (M50),outcome,34,-0.5108110279705965,0.0020221330906925374
D7/0_enriched in B cells (II) (M47.1),outcome,34,0.5094012639921901,0.0020908279095469525
D3/0_enriched in neutrophils (I) (M37.1),outcome,34,-0.49916645702619883,0.002653553501635494
D3/0_Naive B cell surface signature (S8),outcome,34,0.4740705401373115,0.004620326043733016
D3/0_TBA (M102),outcome,34,0.4649600807685706,0.005594793147523161
D3/0_B cell surface signature (S2),outcome,34,0.45134564837630126,0.007377742712510641
D7/0_B cell surface signature (S2),outcome,34,0.4509429980365745,0.007437114885211557
D1/0_TBA (M131),outcome,34,-0.4506950362797102,0.007473880224885714
D3/0_suppression of MAPK signaling (M56),outcome,34,-0.44493207154983094,0.008373129643391647
D3/0_Memory B cell surface signature (S9),outcome,34,0.44313168952071086,0.00867228740804718
D3/0_recruitment of neutrophils (M132),outcome,34,-0.43648967177012704,0.009855861909056896
D3/0_leukocyte migration (M88.0),outcome,34,0.43224160851273336,0.010682499291859339
D3/0_enriched in antigen presentation (I) (M71),outcome,34,-0.4251581962889248,0.012191265258967517
"D3/0_collagen, TGFB family et al (M77)",outcome,34,0.42082871594526206,0.013199069753142577
D7/0_enriched in B cells (IV) (M47.3),outcome,34,0.41651259794882434,0.014272649126366261
D3/0_enriched in neutrophils (II) (M163),outcome,34,-0.41455024274770697,0.014784475637331063
D3/0_formyl peptide receptor mediated neutrophil response (M11.2),outcome,34,-0.4126932063624668,0.015282923941902733
D3/0_cell adhesion (lymphocyte homing) (M21),outcome,34,0.40894316866063474,0.016332483443896942
"D3/0_RA, WNT, CSF receptors network (monocyte) (M23)",outcome,34,-0.40874118441251367,0.016390683994472466
"D3/0_cell adhesion, membrane (M133.0)",outcome,34,0.40757908182770003,0.016728916312978542
D3/0_enriched in B cells (II) (M47.1),outcome,34,0.4065050082927117,0.017046694980727823
D3/0_MHC-TLR7-TLR8 cluster (M146),outcome,34,-0.40390392221802096,0.017837201556739825
D3/0_enriched for promoter motif NATCACGTGAY (putative SREBF1 targets) (M178),outcome,34,0.3992197578010997,0.019337888832429585
D7/0_CD1 and other DC receptors (M50),outcome,34,-0.39441329953620974,0.020985454837114635
"D1/0_myeloid cell cytokines, metallopeptidases and laminins (M78)",outcome,34,-0.39287175189426093,0.021537898273355904
D7/0_suppression of MAPK signaling (M56),outcome,34,-0.3925273978371886,0.021662936733198135
D7/0_Hox cluster VI (M107),outcome,34,0.39216340879773404,0.021795758093727
D3/0_TLR and inflammatory signaling (M16),outcome,34,-0.3900283884169764,0.022588489554065512
D3/0_TBA (M241),outcome,34,0.3856717128262492,0.02428022071832522
D7/0_enriched in B cells (VI) (M69),outcome,34,0.385647996301943,0.02428970832528037
D3/0_TBA (M198),outcome,34,-0.3853926471362173,0.024392052623685902
D3/0_enriched in B cells (I) (M47.0),outcome,34,0.38465645620848643,0.024689111970948165
D7/0_signaling in T cells (I) (M35.0),outcome,34,-0.3809096800243166,0.02624756130052252
D3/0_enriched in antigen presentation (II) (M95.0),outcome,34,-0.3807221289070611,0.02632765087992834
D7/0_targets of FOSL1/2 (M0),outcome,34,-0.37943712520576656,0.026881806536267767
D3/0_TLR8-BAFF network (M25),outcome,34,-0.37917501145502125,0.026996011462722784
D3/0_TBA (M55),outcome,34,-0.37779836985553344,0.027602389056387785
D3/0_glycerophospholipid metabolism (M114.1),outcome,34,-0.37734051291179294,0.02780652480586008
D3/0_Monocyte surface signature (S4),outcome,34,-0.37655940014857325,0.02815764363936702
D7/0_enriched for promoter motif NATCACGTGAY (putative SREBF1 targets) (M178),outcome,34,0.3764010787785348,0.028229252261118182
D3/0_enriched in B cells (VI) (M69),outcome,34,0.3747522035770426,0.028983954516533517
D7/0_enriched in B cells (I) (M47.0),outcome,34,0.37190895406646535,0.030324123549698684
D3/0_olfactory receptors (M228),outcome,34,0.3702173031251193,0.031145244814725272
"D3/0_lipid metabolism, endoplasmic reticulum (M92)",outcome,34,-0.36867824971882596,0.03190799007780325
D3/0_enriched in B cells (IV) (M47.3),outcome,34,0.36431750165899746,0.03415228072976909
D7/0_TBA (M208),outcome,34,0.36026242771419825,0.036352909451466166
D1/0_TBA (M249),outcome,34,-0.3600298219070676,0.0364825494245944
"D1/0_collagen, TGFB family et al (M77)",outcome,34,0.35931760484156045,0.0368818284851399
D3/0_TBA (M79),outcome,34,-0.3588989100081405,0.037118203478250754
D7/0_enriched in activated dendritic cells/monocytes (M64),outcome,34,-0.35694596739962675,0.038237013678831276
D7/0_enriched in naive and memory B cells (M83),outcome,34,0.35684041756492285,0.03829825038341792
D7/0_TBA (M198),outcome,34,-0.35600163143419816,0.038787714292802984
D3/0_enriched in monocytes (IV) (M118.0),outcome,34,-0.35424235851787494,0.03983075467925193
"D7/0_MAPK, RAS signaling (M100)",outcome,34,-0.350087868343526,0.04238394383233692
D3/0_mitotic cell cycle in stimulated CD4 T cells (M4.11),outcome,34,-0.349716821882023,0.04261824016277421
"D3/0_immuregulation - monocytes, T and B cells (M57)",outcome,34,0.3488756295629355,0.04315327087176994
D7/0_double positive thymocytes (M126),outcome,34,0.3473658746964018,0.04412707674686008
D7/0_TBA (M241),outcome,34,0.3437617395761339,0.04652326114548698
D7/0_enriched in antigen presentation (I) (M71),outcome,34,-0.3430760570586674,0.0469907206800928
D7/0_enriched in neutrophils (I) (M37.1),outcome,34,-0.3403494061847925,0.048886944089715216
D7/0_TBA (M102),outcome,34,0.34028647798701983,0.048931418021983815
"D3/0_plasma cells & B cells, immunoglobulins (M156.0)",outcome,34,0.3397524080518695,0.04931016998409435
D3/0_enriched in naive and memory B cells (M83),outcome,34,0.33968498163386823,0.049358153498571984
D3/0_cytoskeletal remodeling (enriched for SRF targets) (M34),outcome,34,0.3374547123751343,0.050966439897721885
D3/0_complement and other receptors in DCs (M40),outcome,34,-0.3335348951589466,0.05389410388421837
D3/0_enriched in B cells (III) (M47.2),outcome,34,0.3314624623524808,0.05549511146457791
D7/0_lymphocyte generic cluster (M60),outcome,34,0.3312472368502061,0.05566351815098633
D3/0_TBA (M48),outcome,34,-0.3283081135056599,0.058004090751096256
D7/0_Hox cluster V (M96),outcome,34,0.3280326593765412,0.058227379125788764
D7/0_enriched in NK cells (KIR cluster) (M61.1),outcome,34,-0.32679767413082816,0.059236851213713505
D1/0_cell junction (GO) (M4.13),outcome,34,-0.32667059692191425,0.059341503290462665
"D7/0_collagen, TGFB family et al (M77)",outcome,34,0.3250816181252551,0.06066244700603319
D7/0_cell cycle and growth arrest (M31),outcome,34,-0.32407895328576686,0.06150784294981978
D3/0_enriched in antigen presentation (III) (M95.1),outcome,34,-0.3217078277764538,0.06354401003617714
D7/0_chemokine cluster (I) (M27.0),outcome,34,-0.32122418332409514,0.06396576800210849
D7/0_chemokines and receptors (M38),outcome,34,-0.3211271719931078,0.06405063026766268
D3/0_lymphocyte generic cluster (M60),outcome,34,0.3209297982837599,0.06422355936930695
D1/0_mitotic cell cycle - DNA replication (M4.4),outcome,34,-0.3200060474631913,0.06503778716087494
D3/0_signaling in T cells (II) (M35.1),outcome,34,-0.31996964593322436,0.06507003803005834
D3/0_antigen presentation (lipids and proteins) (M28),outcome,34,-0.319168832406581,0.06578272161061441
"D1/0_metabolism in mitochondria, peroxisome (M187)",outcome,34,0.3187077956628975,0.06619579050931969
D3/0_enriched in activated dendritic cells/monocytes (M64),outcome,34,-0.3181580730111205,0.06669097416100533
D7/0_chemokines and inflammatory molecules in myeloid cells (M86.0),outcome,34,-0.31639082345749625,0.06830258786841052
D3/0_cell cell adhesion (M133.1),outcome,34,0.3135369727789449,0.07096928373938902
D7/0_enriched for TF motif TTCNRGNNNNTTC (M172),outcome,34,-0.31193149910332196,0.0725047909184183
D7/0_enriched in neutrophils (II) (M163),outcome,34,-0.31185484050127243,0.07257875122012176
"D7/0_RA, WNT, CSF receptors network (monocyte) (M23)",outcome,34,-0.3106271883614138,0.07377121956470792
"D3/0_CCR1, 7 and cell signaling (M59)",outcome,34,-0.31030732607355727,0.07408440521703324
D3/0_enriched in monocytes (II) (M11.0),outcome,34,-0.3082186726022473,0.07615496812729135
D7/0_enriched in B cells (III) (M47.2),outcome,34,0.30805953525460134,0.07631455072062283
D7/0_regulation of localization (GO) (M63),outcome,34,-0.30750737292400615,0.07687027199103072
D7/0_AP-1 transcription factor network (M20),outcome,34,-0.30717783361409445,0.07720342856334192
D3/0_cell junction (M162.1),outcome,34,0.30662349459081273,0.07776637801637014
D1/0_cell cycle (I) (M4.1),outcome,34,-0.3061661851426782,0.07823318212006401
D3/0_inflammatory response (M33),outcome,34,-0.30598240843618146,0.07842138489945617
D1/0_cell division in stimulated CD4 T cells (M4.6),outcome,34,-0.30460143056156597,0.07984686624918479
D1/0_cytoskeleton/actin (SRF transcription targets) (M145.1),outcome,34,-0.3023008807188942,0.08226597397074487
D7/0_recruitment of neutrophils (M132),outcome,34,-0.30156149574927116,0.08305535716005877
D1/0_enriched in neutrophils (I) (M37.1),outcome,34,-0.3013742768539457,0.08325616001809966
D7/0_leukocyte differentiation (M160),outcome,34,-0.30002163093030276,0.0847180934319591
D1/0_chromosome Y linked (M240),outcome,34,-0.29945334310920735,0.08533816127642463
"D7/0_proinflammatory dendritic cell, myeloid cell response (M86.1)",outcome,34,-0.29934141160267136,0.08546070221654076
D3/0_cell cycle and transcription (M4.0),outcome,34,-0.2991059982149159,0.08571887114364182
D7/0_enriched for TF motif PAX3 (M179),outcome,34,0.2983317718975331,0.08657216913366872
D7/0_antiviral IFN signature (M75),outcome,34,-0.29423703896813286,0.09119414038233928
D7/0_TBA (M48),outcome,34,-0.29385461656951334,0.0916352622962949
"D3/0_receptors, cell migration (M109)",outcome,34,-0.29362295674630934,0.09190327339045717
D7/0_complement and other receptors in DCs (M40),outcome,34,-0.2933621874251282,0.09220567862811198
D3/0_Hox cluster I (M17.0),outcome,34,0.2929853596525998,0.09264401637650829
D1/0_TBA (M183),outcome,34,-0.29231788771609823,0.09342434757628136
D1/0_olfactory receptors (M228),outcome,34,0.29187219818977567,0.09394818497582766
D7/0_DC surface signature (S5),outcome,34,-0.290219709785606,0.09591001090413073
D7/0_TLR and inflammatory signaling (M16),outcome,34,-0.2887321701466937,0.09770257110158834
D1/0_enriched for promoter motif NATCACGTGAY (putative SREBF1 targets) (M178),outcome,34,0.28842230620456616,0.09807915954037295
D7/0_TBA (M98.0),outcome,34,-0.2880362111244939,0.0985499378383744
D7/0_enriched in antigen presentation (III) (M95.1),outcome,34,-0.2874338570566882,0.09928783573139867
D1/0_transcription regulation in cell development (M49),outcome,34,-0.28737014481840373,0.09936612950359226
D3/0_TBA (M66),outcome,34,-0.28684622683806577,0.10001173382748274
"D7/0_IL2, IL7, TCR network (M65)",outcome,34,0.2814857471721728,0.10680147924997133
D7/0_innate activation by cytosolic DNA sensing (M13),outcome,34,-0.2812420036345205,0.10711827448945234
D3/0_TBA (M26.2),outcome,34,0.2807212075865814,0.10779753129226335
D1/0_cell adhesion (GO) (M117),outcome,34,-0.2805732780649238,0.10799106161363572
D7/0_Hox cluster IV (M17.3),outcome,34,0.27868920011092163,0.11047888756561913
D1/0_Naive B cell surface signature (S8),outcome,34,0.27711208623871075,0.1125943162915989
"D7/0_growth factor induced, enriched in nuclear receptor subfamily 4 (M94)",outcome,34,-0.27706379164642203,0.11265957151658974
D7/0_enriched in monocytes (III) (M73),outcome,34,-0.2766303604421313,0.11324649095049011
D3/0_TBA (M116),outcome,34,0.2765246413655359,0.11338999495125804
"D7/0_extracellular matrix, complement (M140)",outcome,34,-0.27591382871027714,0.11422178905738493
D3/0_golgi membrane (I) (M113),outcome,34,-0.2757605807014195,0.11443119528930668
