gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
PI3,-0.06183169833125892,-0.009386389977377188,0.06183169833125892,0.009386389977377188,FALSE,FALSE
HEY1,-0.05478970029493311,-0.020190681129334052,0.05478970029493311,0.020190681129334052,FALSE,FALSE
TTTY10,-0.054435619320288425,-0.022464629294242717,0.054435619320288425,0.022464629294242717,FALSE,FALSE
NSUN7,-0.053793594855782126,-0.01332857775096506,0.053793594855782126,0.01332857775096506,FALSE,FALSE
CNTNAP3,-0.05239325342680206,-0.004794035659300858,0.05239325342680206,0.004794035659300858,FALSE,FALSE
KRTAP5-8,-0.0516755345593971,-0.025137667997353227,0.0516755345593971,0.025137667997353227,FALSE,FALSE
CA4,-0.050523935739751606,-0.010347771014748517,0.050523935739751606,0.010347771014748517,FALSE,FALSE
KRT23,-0.04859652447200945,0.0021502527142698404,0.04859652447200945,0.0021502527142698404,FALSE,FALSE
SLPI,-0.04833529123261667,0.003999570645841787,0.04833529123261667,0.003999570645841787,FALSE,FALSE
FBXL13,-0.04794200015994818,-0.01812529694496317,0.04794200015994818,0.01812529694496317,FALSE,FALSE
GPR97,-0.0475863105423137,0.008350483701650226,0.0475863105423137,0.008350483701650226,FALSE,FALSE
LOC645638,0.04746333541121513,0.010486110321906075,0.04746333541121513,0.010486110321906075,FALSE,FALSE
GJB6,-0.046053870503487554,0.0013339732510143111,0.046053870503487554,0.0013339732510143111,FALSE,FALSE
PNOC,0.0458534561493369,0.01953295668937832,0.0458534561493369,0.01953295668937832,TRUE,FALSE
DOCK4,-0.04577503179951985,0.01187714765010307,0.04577503179951985,0.01187714765010307,FALSE,FALSE
DNAH6,-0.04438297672139641,-0.03540403184533719,0.04438297672139641,0.03540403184533719,FALSE,FALSE
ZDHHC18,-0.043586325449793455,0.005138483205440528,0.043586325449793455,0.005138483205440528,FALSE,FALSE
TNFRSF10C,-0.04276377476833592,-0.005862416023399552,0.04276377476833592,0.005862416023399552,FALSE,FALSE
MAK,-0.042726648213214716,-0.0013398460034229635,0.042726648213214716,0.0013398460034229635,FALSE,FALSE
CD19,0.0423004745572297,-0.009084074356415306,0.0423004745572297,0.009084074356415306,FALSE,FALSE
LOC134466,-0.04219564450745313,-0.021506817091496905,0.04219564450745313,0.021506817091496905,FALSE,FALSE
