sample_name,sample_title,geo_accession,fish_id,sex,tissue,time_week,age_death_days
FC1_10w,FC1 fin clipped at 10 weeks during normal aging,GSM4546623,FC1,male,fin clip,10,382
FC1_20w,FC1 fin clipped at 20 weeks during normal aging,GSM4546624,FC1,male,fin clip,20,382
FC2_10w,FC2 fin clipped at 10 weeks during normal aging,GSM4546625,FC2,male,fin clip,10,310
FC2_20w,FC2 fin clipped at 20 weeks during normal aging,GSM4546626,FC2,male,fin clip,20,310
FC3_10w,FC3 fin clipped at 10 weeks during normal aging,GSM4546627,FC3,male,fin clip,10,181
FC3_20w,FC3 fin clipped at 20 weeks during normal aging,GSM4546628,FC3,male,fin clip,20,181
FC4_10w,FC4 fin clipped at 10 weeks during normal aging,GSM4546629,FC4,male,fin clip,10,405
FC4_20w,FC4 fin clipped at 20 weeks during normal aging,GSM4546630,FC4,male,fin clip,20,405
FC5_10w,FC5 fin clipped at 10 weeks during normal aging,GSM4546631,FC5,male,fin clip,10,288
FC5_20w,FC5 fin clipped at 20 weeks during normal aging,GSM4546632,FC5,male,fin clip,20,288
FC6_10w,FC6 fin clipped at 10 weeks during normal aging,GSM4546633,FC6,male,fin clip,10,379
FC6_20w,FC6 fin clipped at 20 weeks during normal aging,GSM4546634,FC6,male,fin clip,20,379
FC7_10w,FC7 fin clipped at 10 weeks during normal aging,GSM4546635,FC7,male,fin clip,10,370
FC7_20w,FC7 fin clipped at 20 weeks during normal aging,GSM4546636,FC7,male,fin clip,20,370
FC8_10w,FC8 fin clipped at 10 weeks during normal aging,GSM4546637,FC8,male,fin clip,10,382
FC8_20w,FC8 fin clipped at 20 weeks during normal aging,GSM4546638,FC8,male,fin clip,20,382
FC9_10w,FC9 fin clipped at 10 weeks during normal aging,GSM4546639,FC9,male,fin clip,10,146
FC9_20w,FC9 fin clipped at 20 weeks during normal aging,GSM4546640,FC9,male,fin clip,20,146
FC10_10w,FC10 fin clipped at 10 weeks during normal aging,GSM4546641,FC10,male,fin clip,10,272
FC10_20w,FC10 fin clipped at 20 weeks during normal aging,GSM4546642,FC10,male,fin clip,20,272
FC11_10w,FC11 fin clipped at 10 weeks during normal aging,GSM4546643,FC11,male,fin clip,10,400
FC11_20w,FC11 fin clipped at 20 weeks during normal aging,GSM4546644,FC11,male,fin clip,20,400
FC12_10w,FC12 fin clipped at 10 weeks during normal aging,GSM4546645,FC12,male,fin clip,10,384
FC12_20w,FC12 fin clipped at 20 weeks during normal aging,GSM4546646,FC12,male,fin clip,20,384
FC13_10w,FC13 fin clipped at 10 weeks during normal aging,GSM4546647,FC13,male,fin clip,10,392
FC13_20w,FC13 fin clipped at 20 weeks during normal aging,GSM4546648,FC13,male,fin clip,20,392
FC14_10w,FC14 fin clipped at 10 weeks during normal aging,GSM4546649,FC14,male,fin clip,10,382
FC14_20w,FC14 fin clipped at 20 weeks during normal aging,GSM4546650,FC14,male,fin clip,20,382
FC15_10w,FC15 fin clipped at 10 weeks during normal aging,GSM4546651,FC15,male,fin clip,10,282
FC15_20w,FC15 fin clipped at 20 weeks during normal aging,GSM4546652,FC15,male,fin clip,20,282
FC16_10w,FC16 fin clipped at 10 weeks during normal aging,GSM4546653,FC16,male,fin clip,10,294
FC16_20w,FC16 fin clipped at 20 weeks during normal aging,GSM4546654,FC16,male,fin clip,20,294
FC17_10w,FC17 fin clipped at 10 weeks during normal aging,GSM4546655,FC17,male,fin clip,10,404
FC17_20w,FC17 fin clipped at 20 weeks during normal aging,GSM4546656,FC17,male,fin clip,20,404
FC18_10w,FC18 fin clipped at 10 weeks during normal aging,GSM4546657,FC18,male,fin clip,10,312
FC18_20w,FC18 fin clipped at 20 weeks during normal aging,GSM4546658,FC18,male,fin clip,20,312
FC19_10w,FC19 fin clipped at 10 weeks during normal aging,GSM4546659,FC19,male,fin clip,10,259
FC19_20w,FC19 fin clipped at 20 weeks during normal aging,GSM4546660,FC19,male,fin clip,20,259
FC21_10w,FC21 fin clipped at 10 weeks during normal aging,GSM4546661,FC21,male,fin clip,10,374
FC21_20w,FC21 fin clipped at 20 weeks during normal aging,GSM4546662,FC21,male,fin clip,20,374
FC23_10w,FC23 fin clipped at 10 weeks during normal aging,GSM4546663,FC23,male,fin clip,10,375
FC23_20w,FC23 fin clipped at 20 weeks during normal aging,GSM4546664,FC23,male,fin clip,20,375
FC24_10w,FC24 fin clipped at 10 weeks during normal aging,GSM4546665,FC24,male,fin clip,10,367
FC24_20w,FC24 fin clipped at 20 weeks during normal aging,GSM4546666,FC24,male,fin clip,20,367
FC25_10w,FC25 fin clipped at 10 weeks during normal aging,GSM4546667,FC25,male,fin clip,10,324
FC25_20w,FC25 fin clipped at 20 weeks during normal aging,GSM4546668,FC25,male,fin clip,20,324
FC26_10w,FC26 fin clipped at 10 weeks during normal aging,GSM4546669,FC26,male,fin clip,10,379
FC26_20w,FC26 fin clipped at 20 weeks during normal aging,GSM4546670,FC26,male,fin clip,20,379
FC27_10w,FC27 fin clipped at 10 weeks during normal aging,GSM4546671,FC27,male,fin clip,10,313
FC27_20w,FC27 fin clipped at 20 weeks during normal aging,GSM4546672,FC27,male,fin clip,20,313
FC28_10w,FC28 fin clipped at 10 weeks during normal aging,GSM4546673,FC28,male,fin clip,10,221
FC28_20w,FC28 fin clipped at 20 weeks during normal aging,GSM4546674,FC28,male,fin clip,20,221
