probe_id,pc2_loading_rss,pc2_max_abs_loading,pc2_dominant_day,gene_title,gene_symbol,gene_id,go_process,go_function
202638_PM_s_at,0.0490016226540525,0.027850357353110623,D0,intercellular adhesion molecule 1,ICAM1,3383,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell///T cell antigen processing and presentation///acute inflammatory response to antigenic stimulus///adhesion of symbiont to host///cell adhesion///cell adhesion mediated by integrin///cell aging///cellular response to alkaloid///cellular response to glucose stimulus///cellular response to hypoxia///cellular response to interleukin-1///cellular response to lipopolysaccharide///cellular response to nutrient levels///cellular response to tumor necrosis factor///establishment of Sertoli cell barrier///establishment of endothelial barrier///extracellular matrix organization///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///interferon-gamma-mediated signaling pathway///leukocyte cell-cell adhesion///leukocyte migration///membrane to membrane docking///negative regulation of calcium ion transport///negative regulation of endothelial cell apoptotic process///negative regulation of extrinsic apoptotic signaling pathway via death domain receptors///ovarian follicle development///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of NF-kappaB transcription factor activity///positive regulation of actin filament polymerization///positive regulation of cellular extravasation///positive regulation of nitric oxide biosynthetic process///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of vasoconstriction///receptor-mediated virion attachment to host cell///regulation of cell adhesion///regulation of cell shape///regulation of immune response///regulation of leukocyte mediated cytotoxicity///regulation of ruffle assembly///response to amino acid///response to amphetamine///response to copper ion///response to drug///response to ethanol///response to gonadotropin///response to ionizing radiation///response to organic cyclic compound///response to sulfur dioxide///sensory perception of sound///viral entry into host cell,integrin binding///integrin binding///protein binding///receptor activity///transmembrane signaling receptor activity///virus receptor activity
216841_PM_s_at,0.048985936148920536,0.027447655107239274,D0,"superoxide dismutase 2, mitochondrial",SOD2,6648,age-dependent response to reactive oxygen species///negative regulation of cell proliferation///negative regulation of neuron apoptotic process///negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway///oxidation-reduction process///oxygen homeostasis///protein homotetramerization///regulation of blood pressure///regulation of transcription from RNA polymerase II promoter///release of cytochrome c from mitochondria///removal of superoxide radicals///response to reactive oxygen species///response to superoxide///superoxide metabolic process///vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure,identical protein binding///manganese ion binding///manganese ion binding///superoxide dismutase activity///superoxide dismutase activity
201531_PM_at,0.04865425737696964,0.027012465481522113,D0,ZFP36 ring finger protein,ZFP36,7538,"3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA stabilization///MAPK cascade///cellular response to epidermal growth factor stimulus///cellular response to fibroblast growth factor stimulus///cellular response to glucocorticoid stimulus///cellular response to granulocyte macrophage colony-stimulating factor stimulus///cellular response to lipopolysaccharide///cellular response to tumor necrosis factor///mRNA catabolic process///mRNA transport///miRNA mediated inhibition of translation///negative regulation of erythrocyte differentiation///negative regulation of transcription from RNA polymerase II promoter///nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///nuclear-transcribed mRNA catabolic process, deadenylation-independent decay///nuclear-transcribed mRNA poly(A) tail shortening///p38MAPK cascade///positive regulation of fat cell differentiation///positive regulation of intracellular mRNA localization///positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///positive regulation of nuclear-transcribed mRNA poly(A) tail shortening///regulation of keratinocyte apoptotic process///regulation of keratinocyte differentiation///regulation of keratinocyte proliferation///regulation of mRNA stability///regulation of mRNA stability///regulation of tumor necrosis factor production///response to starvation///response to wounding///response to wounding",14-3-3 protein binding///AU-rich element binding///AU-rich element binding///C-C chemokine binding///DNA binding///enzyme binding///mRNA 3'-UTR AU-rich region binding///mRNA 3'-UTR binding///mRNA binding///metal ion binding///poly(A) RNA binding///protein binding///protein kinase binding///single-stranded RNA binding
202637_PM_s_at,0.048555233048052836,0.026649188064504226,D0,intercellular adhesion molecule 1,ICAM1,3383,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell///T cell antigen processing and presentation///acute inflammatory response to antigenic stimulus///adhesion of symbiont to host///cell adhesion///cell adhesion mediated by integrin///cell aging///cellular response to alkaloid///cellular response to glucose stimulus///cellular response to hypoxia///cellular response to interleukin-1///cellular response to lipopolysaccharide///cellular response to nutrient levels///cellular response to tumor necrosis factor///establishment of Sertoli cell barrier///establishment of endothelial barrier///extracellular matrix organization///heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules///interferon-gamma-mediated signaling pathway///leukocyte cell-cell adhesion///leukocyte migration///membrane to membrane docking///negative regulation of calcium ion transport///negative regulation of endothelial cell apoptotic process///negative regulation of extrinsic apoptotic signaling pathway via death domain receptors///ovarian follicle development///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of NF-kappaB transcription factor activity///positive regulation of actin filament polymerization///positive regulation of cellular extravasation///positive regulation of nitric oxide biosynthetic process///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of vasoconstriction///receptor-mediated virion attachment to host cell///regulation of cell adhesion///regulation of cell shape///regulation of immune response///regulation of leukocyte mediated cytotoxicity///regulation of ruffle assembly///response to amino acid///response to amphetamine///response to copper ion///response to drug///response to ethanol///response to gonadotropin///response to ionizing radiation///response to organic cyclic compound///response to sulfur dioxide///sensory perception of sound///viral entry into host cell,integrin binding///integrin binding///protein binding///receptor activity///transmembrane signaling receptor activity///virus receptor activity
218810_PM_at,0.04853531974953438,0.026253681301340027,D0,zinc finger CCCH-type containing 12A,ZC3H12A,80149,"3'-UTR-mediated mRNA destabilization///3'-UTR-mediated mRNA destabilization///RNA phosphodiester bond hydrolysis///RNA phosphodiester bond hydrolysis, endonucleolytic///RNA phosphodiester bond hydrolysis, exonucleolytic///angiogenesis///apoptotic process///cell differentiation///cellular response to DNA damage stimulus///cellular response to chemokine///cellular response to glucose starvation///cellular response to interleukin-1///cellular response to ionomycin///cellular response to lipopolysaccharide///cellular response to lipopolysaccharide///cellular response to oxidative stress///cellular response to phorbol 13-acetate 12-myristate///cellular response to sodium arsenite///cellular response to tumor necrosis factor///cellular response to virus///defense response to virus///inflammatory response///negative regulation by host of viral genome replication///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of NF-kappaB import into nucleus///negative regulation of NF-kappaB transcription factor activity///negative regulation of cardiac muscle contraction///negative regulation of cytokine production involved in inflammatory response///negative regulation of gene expression///negative regulation of interferon-gamma secretion///negative regulation of interleukin-1 beta secretion///negative regulation of interleukin-6 production///negative regulation of interleukin-6 secretion///negative regulation of macrophage activation///negative regulation of muscle cell apoptotic process///negative regulation of nitric oxide biosynthetic process///negative regulation of production of miRNAs involved in gene silencing by miRNA///negative regulation of protein phosphorylation///negative regulation of tumor necrosis factor production///negative regulation of tumor necrosis factor secretion///nervous system development///nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay///positive regulation of angiogenesis///positive regulation of angiogenesis///positive regulation of autophagy///positive regulation of cell death///positive regulation of defense response to virus by host///positive regulation of endothelial cell migration///positive regulation of execution phase of apoptosis///positive regulation of fat cell differentiation///positive regulation of gene expression///positive regulation of lipid storage///positive regulation of mRNA catabolic process///positive regulation of mRNA catabolic process///positive regulation of miRNA catabolic process///positive regulation of p38MAPK cascade///positive regulation of protein deubiquitination///positive regulation of protein import into nucleus///positive regulation of reactive oxygen species metabolic process///positive regulation of transcription from RNA polymerase II promoter///protein deubiquitination///protein oligomerization///regulation of gene expression///transcription, DNA-templated",DNA binding///RNA binding///RNA stem-loop binding///chromatin binding///endoribonuclease activity///exoribonuclease activity///mRNA 3'-UTR AU-rich region binding///mRNA 3'-UTR binding///mRNA binding///metal ion binding///miRNA binding///protein binding///ribonuclease activity///ribosome binding///contributes_to thiol-dependent ubiquitin-specific protease activity
202924_PM_s_at,0.04845964130724799,0.025340503996466972,D0,PLAG1 like zinc finger 2,PLAGL2,5326,chylomicron assembly///lipid metabolic process///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of protein targeting to mitochondrion///positive regulation of transcription from RNA polymerase II promoter///post-embryonic development///transcription from RNA polymerase II promoter,"metal ion binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"
207075_PM_at,0.048383471112798844,0.02809347702228805,D0,NLR family pyrin domain containing 3,NLRP3,114548,"NLRP3 inflammasome complex assembly///activation of cysteine-type endopeptidase activity involved in apoptotic process///apoptotic process///cellular response to lipopolysaccharide///defense response///defense response to virus///detection of biotic stimulus///inflammatory response///innate immune response///interleukin-1 beta production///interleukin-1 secretion///interleukin-18 production///negative regulation of NF-kappaB import into nucleus///negative regulation of NF-kappaB transcription factor activity///negative regulation of acute inflammatory response///negative regulation of inflammatory response///negative regulation of interleukin-1 beta secretion///positive regulation of NF-kappaB transcription factor activity///positive regulation of T-helper 17 cell differentiation///positive regulation of T-helper 2 cell cytokine production///positive regulation of T-helper 2 cell differentiation///positive regulation of cysteine-type endopeptidase activity involved in apoptotic process///positive regulation of interleukin-1 beta secretion///positive regulation of interleukin-13 production///positive regulation of interleukin-4 production///positive regulation of interleukin-5 production///positive regulation of transcription from RNA polymerase II promoter///positive regulation of type 2 immune response///protein oligomerization///signal transduction///transcription, DNA-templated",ATP binding///peptidoglycan binding///protein binding///sequence-specific DNA binding///transcription factor binding
241889_PM_at,0.04829505921290326,0.025612212067762364,D1,NFKB inhibitor delta,NFKBID,84807,inflammatory response///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of NF-kappaB transcription factor activity///negative regulation of T cell differentiation in thymus///positive regulation of thymocyte apoptotic process///regulation of transcription from RNA polymerase II promoter,NF-kappaB binding///protein binding///transcription cofactor activity
220091_PM_at,0.04827661464917382,0.02622781918361612,D0,solute carrier family 2 member 6,SLC2A6,11182,glucose import///glucose transmembrane transport///proton transport,D-glucose transmembrane transporter activity///glucose transmembrane transporter activity///glucose transmembrane transporter activity///sugar:proton symporter activity
37028_PM_at,0.048229786699202845,0.027706924891278323,D0,protein phosphatase 1 regulatory subunit 15A,PPP1R15A,23645,aging///apoptotic process///cell cycle arrest///cellular response to DNA damage stimulus///cellular response to UV///cellular response to antibiotic///cellular response to calcium ion starvation///cellular response to carbohydrate stimulus///cellular response to cordycepin///cellular response to desipramine///cellular response to drug///cellular response to gold(3+)///cellular response to methamphetamine hydrochloride///cellular response to methyl methanesulfonate///cellular response to oxygen-glucose deprivation///endoplasmic reticulum unfolded protein response///intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress///negative regulation of PERK-mediated unfolded protein response///negative regulation of cell death///negative regulation of cell proliferation///negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation///negative regulation of peptidyl-threonine phosphorylation///negative regulation of phosphoprotein phosphatase activity///negative regulation of protein dephosphorylation///negative regulation of protein processing///negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress///peptidyl-serine dephosphorylation///positive regulation of apoptotic process///positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation///positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation///positive regulation of peptidyl-serine dephosphorylation///positive regulation of phosphoprotein phosphatase activity///positive regulation of protein phosphorylation///positive regulation of translational initiation in response to stress///protein localization to endoplasmic reticulum///regulation of angiogenesis///regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation///regulation of translational initiation by eIF2 alpha dephosphorylation///response to cocaine///response to endoplasmic reticulum stress///response to environmental enrichment///response to immobilization stress,protein binding///protein kinase binding///protein phosphatase 1 binding///protein phosphatase 1 binding///protein phosphatase type 1 activator activity///protein phosphatase type 1 regulator activity
